# RS(544,522) data_k frame (MSB-first)
# Line i = data_k[521-i], fields: dec,0xHEX (10-bit)
861,0x35d
527,0x20f
509,0x1fd
416,0x1a0
605,0x25d
700,0x2bc
177,0x0b1
99,0x063
425,0x1a9
71,0x047
51,0x033
525,0x20d
433,0x1b1
913,0x391
520,0x208
16,0x010
890,0x37a
655,0x28f
989,0x3dd
851,0x353
369,0x171
1008,0x3f0
258,0x102
62,0x03e
439,0x1b7
47,0x02f
799,0x31f
978,0x3d2
715,0x2cb
108,0x06c
89,0x059
285,0x11d
292,0x124
511,0x1ff
140,0x08c
818,0x332
513,0x201
966,0x3c6
856,0x358
886,0x376
761,0x2f9
244,0x0f4
232,0x0e8
566,0x236
587,0x24b
405,0x195
224,0x0e0
746,0x2ea
480,0x1e0
573,0x23d
80,0x050
47,0x02f
518,0x206
538,0x21a
708,0x2c4
106,0x06a
601,0x259
232,0x0e8
496,0x1f0
809,0x329
840,0x348
304,0x130
735,0x2df
578,0x242
280,0x118
389,0x185
363,0x16b
549,0x225
777,0x309
185,0x0b9
371,0x173
609,0x261
822,0x336
492,0x1ec
437,0x1b5
559,0x22f
487,0x1e7
91,0x05b
843,0x34b
940,0x3ac
334,0x14e
646,0x286
486,0x1e6
603,0x25b
687,0x2af
914,0x392
224,0x0e0
549,0x225
95,0x05f
82,0x052
124,0x07c
759,0x2f7
457,0x1c9
740,0x2e4
1010,0x3f2
790,0x316
162,0x0a2
585,0x249
555,0x22b
807,0x327
381,0x17d
301,0x12d
527,0x20f
824,0x338
166,0x0a6
345,0x159
208,0x0d0
189,0x0bd
58,0x03a
940,0x3ac
816,0x330
96,0x060
700,0x2bc
303,0x12f
183,0x0b7
481,0x1e1
766,0x2fe
650,0x28a
680,0x2a8
844,0x34c
635,0x27b
727,0x2d7
946,0x3b2
824,0x338
73,0x049
308,0x134
509,0x1fd
365,0x16d
108,0x06c
873,0x369
310,0x136
363,0x16b
920,0x398
549,0x225
502,0x1f6
825,0x339
483,0x1e3
206,0x0ce
515,0x203
513,0x201
28,0x01c
89,0x059
659,0x293
523,0x20b
503,0x1f7
85,0x055
851,0x353
1013,0x3f5
261,0x105
812,0x32c
1014,0x3f6
161,0x0a1
175,0x0af
754,0x2f2
730,0x2da
838,0x346
992,0x3e0
678,0x2a6
217,0x0d9
137,0x089
935,0x3a7
660,0x294
493,0x1ed
579,0x243
118,0x076
474,0x1da
542,0x21e
936,0x3a8
684,0x2ac
650,0x28a
339,0x153
959,0x3bf
31,0x01f
83,0x053
705,0x2c1
671,0x29f
700,0x2bc
168,0x0a8
725,0x2d5
967,0x3c7
373,0x175
13,0x00d
306,0x132
458,0x1ca
609,0x261
779,0x30b
734,0x2de
36,0x024
311,0x137
727,0x2d7
874,0x36a
110,0x06e
97,0x061
