# RS(544,522) data_k frame (MSB-first)
# Line i = data_k[521-i], fields: dec,0xHEX (10-bit)
77,0x04d
414,0x19e
773,0x305
474,0x1da
613,0x265
130,0x082
431,0x1af
626,0x272
765,0x2fd
955,0x3bb
79,0x04f
244,0x0f4
393,0x189
683,0x2ab
459,0x1cb
722,0x2d2
629,0x275
100,0x064
956,0x3bc
690,0x2b2
980,0x3d4
373,0x175
131,0x083
447,0x1bf
596,0x254
65,0x041
502,0x1f6
688,0x2b0
623,0x26f
936,0x3a8
925,0x39d
221,0x0dd
707,0x2c3
411,0x19b
635,0x27b
329,0x149
827,0x33b
731,0x2db
70,0x046
331,0x14b
898,0x382
14,0x00e
401,0x191
192,0x0c0
918,0x396
840,0x348
569,0x239
849,0x351
664,0x298
963,0x3c3
800,0x320
981,0x3d5
147,0x093
131,0x083
605,0x25d
214,0x0d6
933,0x3a5
144,0x090
776,0x308
829,0x33d
145,0x091
231,0x0e7
249,0x0f9
354,0x162
1018,0x3fa
743,0x2e7
397,0x18d
610,0x262
770,0x302
189,0x0bd
602,0x25a
582,0x246
599,0x257
527,0x20f
725,0x2d5
806,0x326
815,0x32f
1020,0x3fc
992,0x3e0
516,0x204
806,0x326
874,0x36a
682,0x2aa
149,0x095
807,0x327
816,0x330
325,0x145
910,0x38e
432,0x1b0
573,0x23d
756,0x2f4
510,0x1fe
260,0x104
463,0x1cf
722,0x2d2
305,0x131
72,0x048
259,0x103
487,0x1e7
104,0x068
339,0x153
518,0x206
36,0x024
794,0x31a
961,0x3c1
877,0x36d
869,0x365
654,0x28e
424,0x1a8
828,0x33c
935,0x3a7
247,0x0f7
994,0x3e2
469,0x1d5
705,0x2c1
821,0x335
366,0x16e
283,0x11b
314,0x13a
216,0x0d8
194,0x0c2
489,0x1e9
264,0x108
737,0x2e1
80,0x050
297,0x129
992,0x3e0
628,0x274
148,0x094
543,0x21f
455,0x1c7
316,0x13c
642,0x282
830,0x33e
1001,0x3e9
505,0x1f9
615,0x267
458,0x1ca
488,0x1e8
623,0x26f
692,0x2b4
511,0x1ff
61,0x03d
902,0x386
952,0x3b8
412,0x19c
59,0x03b
785,0x311
932,0x3a4
900,0x384
606,0x25e
621,0x26d
33,0x021
281,0x119
439,0x1b7
427,0x1ab
704,0x2c0
130,0x082
213,0x0d5
130,0x082
872,0x368
506,0x1fa
7,0x007
808,0x328
92,0x05c
253,0x0fd
217,0x0d9
868,0x364
801,0x321
483,0x1e3
954,0x3ba
210,0x0d2
691,0x2b3
989,0x3dd
321,0x141
280,0x118
209,0x0d1
579,0x243
700,0x2bc
812,0x32c
217,0x0d9
962,0x3c2
767,0x2ff
8,0x008
304,0x130
217,0x0d9
395,0x18b
1011,0x3f3
3,0x003
997,0x3e5
86,0x056
639,0x27f
959,0x3bf
949,0x3b5
878,0x36e
18,0x012
10,0x00a
481,0x1e1
242,0x0f2
284,0x11c
713,0x2c9
633,0x279
289,0x121
80,0x050
481,0x1e1
441,0x1b9
946,0x3b2
1011,0x3f3
192,0x0c0
325,0x145
270,0x10e
701,0x2bd
357,0x165
935,0x3a7
429,0x1ad
965,0x3c5
441,0x1b9
264,0x108
115,0x073
526,0x20e
520,0x208
935,0x3a7
232,0x0e8
600,0x258
495,0x1ef
660,0x294
307,0x133
882,0x372
920,0x398
425,0x1a9
223,0x0df
228,0x0e4
351,0x15f
171,0x0ab
203,0x0cb
748,0x2ec
50,0x032
746,0x2ea
821,0x335
502,0x1f6
817,0x331
888,0x378
675,0x2a3
650,0x28a
984,0x3d8
931,0x3a3
1014,0x3f6
571,0x23b
995,0x3e3
562,0x232
201,0x0c9
380,0x17c
15,0x00f
634,0x27a
898,0x382
508,0x1fc
48,0x030
1004,0x3ec
338,0x152
228,0x0e4
526,0x20e
880,0x370
727,0x2d7
764,0x2fc
340,0x154
94,0x05e
889,0x379
860,0x35c
59,0x03b
458,0x1ca
162,0x0a2
606,0x25e
702,0x2be
929,0x3a1
861,0x35d
746,0x2ea
1021,0x3fd
638,0x27e
159,0x09f
73,0x049
719,0x2cf
267,0x10b
614,0x266
607,0x25f
377,0x179
158,0x09e
799,0x31f
591,0x24f
778,0x30a
74,0x04a
172,0x0ac
704,0x2c0
556,0x22c
836,0x344
786,0x312
732,0x2dc
77,0x04d
646,0x286
620,0x26c
651,0x28b
211,0x0d3
462,0x1ce
578,0x242
793,0x319
678,0x2a6
912,0x390
709,0x2c5
222,0x0de
139,0x08b
934,0x3a6
434,0x1b2
523,0x20b
1007,0x3ef
455,0x1c7
816,0x330
614,0x266
33,0x021
485,0x1e5
538,0x21a
775,0x307
136,0x088
843,0x34b
326,0x146
557,0x22d
677,0x2a5
11,0x00b
154,0x09a
671,0x29f
761,0x2f9
526,0x20e
863,0x35f
148,0x094
784,0x310
728,0x2d8
158,0x09e
90,0x05a
510,0x1fe
943,0x3af
114,0x072
748,0x2ec
126,0x07e
749,0x2ed
264,0x108
873,0x369
696,0x2b8
26,0x01a
134,0x086
155,0x09b
948,0x3b4
826,0x33a
520,0x208
840,0x348
967,0x3c7
833,0x341
222,0x0de
1002,0x3ea
13,0x00d
74,0x04a
277,0x115
536,0x218
396,0x18c
980,0x3d4
68,0x044
451,0x1c3
712,0x2c8
569,0x239
242,0x0f2
250,0x0fa
552,0x228
164,0x0a4
946,0x3b2
77,0x04d
531,0x213
475,0x1db
475,0x1db
58,0x03a
761,0x2f9
701,0x2bd
913,0x391
540,0x21c
56,0x038
859,0x35b
659,0x293
269,0x10d
686,0x2ae
323,0x143
204,0x0cc
453,0x1c5
552,0x228
117,0x075
127,0x07f
447,0x1bf
528,0x210
221,0x0dd
467,0x1d3
795,0x31b
251,0x0fb
154,0x09a
575,0x23f
240,0x0f0
513,0x201
760,0x2f8
727,0x2d7
177,0x0b1
266,0x10a
806,0x326
739,0x2e3
427,0x1ab
19,0x013
691,0x2b3
310,0x136
796,0x31c
739,0x2e3
135,0x087
676,0x2a4
786,0x312
155,0x09b
412,0x19c
333,0x14d
882,0x372
44,0x02c
172,0x0ac
149,0x095
920,0x398
858,0x35a
1020,0x3fc
570,0x23a
417,0x1a1
463,0x1cf
794,0x31a
951,0x3b7
262,0x106
938,0x3aa
121,0x079
701,0x2bd
286,0x11e
395,0x18b
547,0x223
1007,0x3ef
861,0x35d
272,0x110
924,0x39c
678,0x2a6
725,0x2d5
532,0x214
791,0x317
